,license_plate,kreis_key,income_pp_2000,income_pp_2001,income_pp_2002,income_pp_2003,income_pp_2004,income_pp_2005,income_pp_2006,income_pp_2007,income_pp_2008,income_pp_2009,income_pp_2010,income_pp_2011,income_pp_2012,income_pp_2013,income_pp_2014,income_pp_2015,income_pp_2016,income_pp_2017,income_pp_2018,income_2000,income_2001,income_2002,income_2003,income_2004,income_2005,income_2006,income_2007,income_2008,income_2009,income_2010,income_2011,income_2012,income_2013,income_2014,income_2015,income_2016,income_2017,income_2018,crimes_2013,crimes_2014,crimes_2015,crimes_2016,crimes_2017,crimes_2018,crimes_2019,crimes_2020,population_1995,population_1996,population_1997,population_1998,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,kreis_name
233,ROK,7333,14168,14851,14898,15279,15886,16188,16788,17343,17491,17763,17883,18417,19130,19069,19647,20147,20493,21106,22077,1112067,1169452,1177446,1211452,1262796,1283892,1323318,1359175,1362515,1372357,1368767,1399895,1447490,1436868,1475026,1512922,1541404,1586121,1658024,4072.0,3677.0,3895.0,3628.0,3511.0,3582.0,3351.0,3391.0,75799,76540,77029,77547,78037,78360,78549,78813,79020,79229,79004,78551,78099,77607,76883,76237,76011,75665,75350,75077,75096,75217,75153,75102,75213,      Donnersbergkreis
234,DN,5358,14829,15529,15381,15672,16016,16096,16326,16482,17209,17023,17697,18347,18537,18650,19144,19491,19913,20510,21194,3903413,4117076,4101341,4186968,4275695,4286988,4325509,4345702,4519084,4445331,4597145,4748297,4793324,4821316,4952981,5086181,5226104,5383498,5580583,19033.0,18134.0,18642.0,17739.0,16868.0,16109.0,16348.0,15691.0,257438,259323,260967,262785,265088,267356,269558,271810,272483,272750,272604,271867,270830,270137,269005,268179,258806,258588,258518,258729,260951,262450,262481,263306,264180,"      Düren, Kreis"
235,JÜL,5358,14829,15529,15381,15672,16016,16096,16326,16482,17209,17023,17697,18347,18537,18650,19144,19491,19913,20510,21194,3903413,4117076,4101341,4186968,4275695,4286988,4325509,4345702,4519084,4445331,4597145,4748297,4793324,4821316,4952981,5086181,5226104,5383498,5580583,19033.0,18134.0,18642.0,17739.0,16868.0,16109.0,16348.0,15691.0,257438,259323,260967,262785,265088,267356,269558,271810,272483,272750,272604,271867,270830,270137,269005,268179,258806,258588,258518,258729,260951,262450,262481,263306,264180,"      Düren, Kreis"
236,MON,5358,14829,15529,15381,15672,16016,16096,16326,16482,17209,17023,17697,18347,18537,18650,19144,19491,19913,20510,21194,3903413,4117076,4101341,4186968,4275695,4286988,4325509,4345702,4519084,4445331,4597145,4748297,4793324,4821316,4952981,5086181,5226104,5383498,5580583,19033.0,18134.0,18642.0,17739.0,16868.0,16109.0,16348.0,15691.0,257438,259323,260967,262785,265088,267356,269558,271810,272483,272750,272604,271867,270830,270137,269005,268179,258806,258588,258518,258729,260951,262450,262481,263306,264180,"      Düren, Kreis"
237,SLE,5358,14829,15529,15381,15672,16016,16096,16326,16482,17209,17023,17697,18347,18537,18650,19144,19491,19913,20510,21194,3903413,4117076,4101341,4186968,4275695,4286988,4325509,4345702,4519084,4445331,4597145,4748297,4793324,4821316,4952981,5086181,5226104,5383498,5580583,19033.0,18134.0,18642.0,17739.0,16868.0,16109.0,16348.0,15691.0,257438,259323,260967,262785,265088,267356,269558,271810,272483,272750,272604,271867,270830,270137,269005,268179,258806,258588,258518,258729,260951,262450,262481,263306,264180,"      Düren, Kreis"
238,EBE,9175,20846,21678,21310,21580,22080,22475,22947,23374,23734,23024,23847,24788,25180,25370,25978,26237,26238,26665,27503,2428377,2566455,2550876,2599564,2671900,2737321,2817121,2896477,2962847,2889232,3015328,3171774,3271851,3349107,3479517,3572033,3626541,3730670,3890820,4213.0,4519.0,4231.0,4644.0,4580.0,4406.0,4398.0,4370.0,109532,110839,112229,113824,115552,117475,119552,120981,122073,122648,123418,124453,125686,126788,127432,128527,127956,129941,132009,133940,136147,138219,139908,141471,142896,"      Ebersberg, Landkreis"
239,EIC,16061,12448,13075,13174,13400,13726,13852,14431,14868,15466,15749,16087,16588,16915,17284,17709,18161,18816,19506,20065,1408607,1469359,1468032,1478229,1501002,1503007,1549781,1579440,1625823,1638703,1657718,1695845,1718717,1747984,1785800,1834810,1903798,1966948,2016764,3658.0,3874.0,4051.0,4021.0,4124.0,4190.0,4332.0,4737.0,117688,117247,116771,115844,114999,114439,113749,112997,112093,111226,110510,109522,108433,107470,106529,105644,102231,101609,101132,100841,101028,101179,100839,100513,100193,"      Eichsfeld, Kreis"
240,HIG,16061,12448,13075,13174,13400,13726,13852,14431,14868,15466,15749,16087,16588,16915,17284,17709,18161,18816,19506,20065,1408607,1469359,1468032,1478229,1501002,1503007,1549781,1579440,1625823,1638703,1657718,1695845,1718717,1747984,1785800,1834810,1903798,1966948,2016764,3658.0,3874.0,4051.0,4021.0,4124.0,4190.0,4332.0,4737.0,117688,117247,116771,115844,114999,114439,113749,112997,112093,111226,110510,109522,108433,107470,106529,105644,102231,101609,101132,100841,101028,101179,100839,100513,100193,"      Eichsfeld, Kreis"
241,WBS,16061,12448,13075,13174,13400,13726,13852,14431,14868,15466,15749,16087,16588,16915,17284,17709,18161,18816,19506,20065,1408607,1469359,1468032,1478229,1501002,1503007,1549781,1579440,1625823,1638703,1657718,1695845,1718717,1747984,1785800,1834810,1903798,1966948,2016764,3658.0,3874.0,4051.0,4021.0,4124.0,4190.0,4332.0,4737.0,117688,117247,116771,115844,114999,114439,113749,112997,112093,111226,110510,109522,108433,107470,106529,105644,102231,101609,101132,100841,101028,101179,100839,100513,100193,"      Eichsfeld, Kreis"
242,EI,9176,15538,16188,16214,16569,17156,17469,17908,18476,19110,18983,20043,20945,22101,22454,22998,23417,23493,23844,24771,1835771,1932261,1957611,2015194,2091417,2130542,2187806,2266699,2353182,2338659,2469830,2589856,2751635,2816790,2909770,2997331,3049612,3129022,3269640,3055.0,2895.0,3049.0,3400.0,3314.0,3175.0,3347.0,3193.0,112044,113430,114638,115786,117371,118932,120266,121671,122838,123002,123224,123117,124088,124471,124686,124814,123653,124500,125449,126524,127997,129807,131227,131994,132611,"      Eichstätt, Landkreis"
243,BIT,7232,13818,14708,14562,14944,15667,15920,16481,16964,17345,17711,18129,18618,19143,19299,19722,20406,20762,21543,22680,1344635,1433144,1417619,1452711,1521734,1548799,1601875,1643903,1677305,1707039,1741477,1784204,1834842,1853755,1898859,1975196,2026393,2113771,2231402,4194.0,4107.0,4714.0,4579.0,4020.0,3783.0,3947.0,3981.0,95515,96124,96360,96379,96304,96376,96345,96138,95886,95770,95780,95738,95262,95122,94597,94229,95832,95849,96052,96283,96794,97601,98117,98387,98810,      Eifelkreis Bitburg-Prüm
244,PRÜ,7232,13818,14708,14562,14944,15667,15920,16481,16964,17345,17711,18129,18618,19143,19299,19722,20406,20762,21543,22680,1344635,1433144,1417619,1452711,1521734,1548799,1601875,1643903,1677305,1707039,1741477,1784204,1834842,1853755,1898859,1975196,2026393,2113771,2231402,4194.0,4107.0,4714.0,4579.0,4020.0,3783.0,3947.0,3981.0,95515,96124,96360,96379,96304,96376,96345,96138,95886,95770,95780,95738,95262,95122,94597,94229,95832,95849,96052,96283,96794,97601,98117,98387,98810,      Eifelkreis Bitburg-Prüm
245,EE,12062,12302,12811,13016,13255,13525,13774,14077,14511,14964,15223,15446,15946,16093,16666,17055,17229,17643,18502,19046,1616724,1658408,1658129,1664320,1676270,1682330,1688511,1706972,1727965,1727011,1723785,1752965,1743964,1781621,1800583,1806216,1844320,1922872,1962659,6848.0,6944.0,6305.0,6282.0,5875.0,5607.0,5377.0,5194.0,137372,136595,136004,135225,133869,132101,130197,128158,126412,124904,123136,120969,118655,116559,114614,112854,109930,108368,106903,105577,104835,104535,103926,103047,102233,"      Elbe-Elster, Landkreis"
246,FI,12062,12302,12811,13016,13255,13525,13774,14077,14511,14964,15223,15446,15946,16093,16666,17055,17229,17643,18502,19046,1616724,1658408,1658129,1664320,1676270,1682330,1688511,1706972,1727965,1727011,1723785,1752965,1743964,1781621,1800583,1806216,1844320,1922872,1962659,6848.0,6944.0,6305.0,6282.0,5875.0,5607.0,5377.0,5194.0,137372,136595,136004,135225,133869,132101,130197,128158,126412,124904,123136,120969,118655,116559,114614,112854,109930,108368,106903,105577,104835,104535,103926,103047,102233,"      Elbe-Elster, Landkreis"
247,LIB,12062,12302,12811,13016,13255,13525,13774,14077,14511,14964,15223,15446,15946,16093,16666,17055,17229,17643,18502,19046,1616724,1658408,1658129,1664320,1676270,1682330,1688511,1706972,1727965,1727011,1723785,1752965,1743964,1781621,1800583,1806216,1844320,1922872,1962659,6848.0,6944.0,6305.0,6282.0,5875.0,5607.0,5377.0,5194.0,137372,136595,136004,135225,133869,132101,130197,128158,126412,124904,123136,120969,118655,116559,114614,112854,109930,108368,106903,105577,104835,104535,103926,103047,102233,"      Elbe-Elster, Landkreis"
248,EM,8316,15667,16698,16637,17049,17323,17516,17881,18143,18694,18556,19276,20099,20696,21003,21676,21932,22436,22933,23587,2348002,2522126,2537025,2617048,2671051,2712950,2778466,2825742,2913527,2891708,3008682,3145822,3250521,3314005,3445253,3528821,3649528,3760649,3892947,6973.0,6605.0,6450.0,6732.0,6482.0,6421.0,6288.0,6187.0,145630,146930,147873,148674,149725,150911,152080,153674,154762,155503,156374,156872,157590,157661,157701,158009,156517,157061,157788,158943,160895,162667,163982,165048,165896,"      Emmendingen, Landkreis"
249,EL,3454,13298,14034,13824,14198,14322,14865,15491,15933,16408,16553,16962,17912,18426,18874,19539,20045,20507,21126,21529,4003710,4249111,4209129,4342978,4397655,4580505,4793038,4956054,5117601,5157836,5277332,5576855,5753398,5912731,6149239,6366675,6571310,6813280,6989254,18354.0,18148.0,18328.0,19083.0,17773.0,18758.0,18378.0,16338.0,289638,294218,296470,298191,299983,302006,303942,305797,307223,308442,309638,311037,312996,314013,313371,313031,311354,312245,313272,314723,317623,320440,322514,324647,326306,"      Emsland, Landkreis"
250,EN,5954,17424,18169,18248,18891,19314,19575,20183,20611,21149,20518,20986,21755,21960,21878,22449,22527,22872,23520,24441,6076590,6319210,6320596,6502511,6609102,6660131,6819313,6916486,7043173,6779660,6883677,7091741,7130071,7076937,7246910,7308433,7448619,7644407,7930644,21553.0,20690.0,20841.0,20676.0,22863.0,18647.0,16543.0,17386.0,352346,351776,351465,351066,351048,351022,350401,349222,347293,345318,343686,341415,339489,337244,334618,332638,325985,324684,323477,322824,324435,325664,325022,324483,324201,      Ennepe-Ruhr-Kreis
251,WIT,5954,17424,18169,18248,18891,19314,19575,20183,20611,21149,20518,20986,21755,21960,21878,22449,22527,22872,23520,24441,6076590,6319210,6320596,6502511,6609102,6660131,6819313,6916486,7043173,6779660,6883677,7091741,7130071,7076937,7246910,7308433,7448619,7644407,7930644,21553.0,20690.0,20841.0,20676.0,22863.0,18647.0,16543.0,17386.0,352346,351776,351465,351066,351048,351022,350401,349222,347293,345318,343686,341415,339489,337244,334618,332638,325985,324684,323477,322824,324435,325664,325022,324483,324201,      Ennepe-Ruhr-Kreis
252,PF,8236,17728,18749,18653,19009,19245,19814,20589,21205,21465,20809,21272,22198,22810,23050,23660,24076,24698,25280,26013,3385627,3599626,3597572,3678411,3733953,3852309,4001525,4108759,4147742,4009139,4080977,4250239,4374409,4436096,4572774,4692308,4857038,5000663,5167208,5981.0,5993.0,5846.0,5956.0,5300.0,5453.0,5042.0,5433.0,186149,187329,188224,189327,190822,192222,193201,194229,195043,195681,196207,196231,195951,195516,194976,194276,191467,191777,192452,193270,194897,196656,197808,198637,199231,"      Enzkreis, Landkreis"
253,ED,9177,16602,17621,17611,17968,18606,18864,19253,19695,20264,19964,20843,21743,22796,22848,23363,23432,23926,24295,25170,1890464,2044601,2070893,2135046,2236397,2289886,2350887,2420914,2507947,2484216,2607338,2740256,2906132,2953380,3061400,3111670,3220094,3307994,3455109,5483.0,5716.0,5677.0,5691.0,5408.0,5243.0,5418.0,5119.0,103440,105637,107798,109853,112168,114686,116993,118556,120079,121329,122619,123358,124201,125230,125926,126633,126027,127483,129264,131039,132793,134588,136157,137272,137921,"      Erding, Landkreis"
254,ERH,9572,18908,19291,19372,20105,20922,22000,23411,24798,23649,22079,22166,23144,23391,23593,23992,24615,24705,25341,26313,2417988,2480812,2504561,2607277,2713910,2850618,3033623,3216580,3069730,2866576,2880475,3018619,3063910,3105358,3177018,3285687,3320043,3420701,3573425,3885.0,3808.0,3681.0,3992.0,3660.0,3444.0,3485.0,3265.0,123650,124811,125923,126871,127751,128547,129335,130124,130670,130658,130770,130684,130868,131097,131013,131221,130429,130987,131620,132421,133483,134388,134987,135803,136767,"      Erlangen-Höchstadt, Landkreis"
255,HÖS,9572,18908,19291,19372,20105,20922,22000,23411,24798,23649,22079,22166,23144,23391,23593,23992,24615,24705,25341,26313,2417988,2480812,2504561,2607277,2713910,2850618,3033623,3216580,3069730,2866576,2880475,3018619,3063910,3105358,3177018,3285687,3320043,3420701,3573425,3885.0,3808.0,3681.0,3992.0,3660.0,3444.0,3485.0,3265.0,123650,124811,125923,126871,127751,128547,129335,130124,130670,130658,130770,130684,130868,131097,131013,131221,130429,130987,131620,132421,133483,134388,134987,135803,136767,"      Erlangen-Höchstadt, Landkreis"
256,ERZ,14521,12756,13437,13670,13996,14191,14171,14610,14979,15459,15774,16022,16453,16896,17240,17646,18210,18865,19668,20492,5323254,5536524,5560424,5621638,5631971,5556176,5651374,5710770,5807827,5842164,5857818,5943507,6035124,6090690,6183903,6348439,6525435,6731482,6947487,13083.0,13198.0,12811.0,12736.0,11803.0,10129.0,10122.0,11140.0,435257,432764,430248,427358,423918,419646,414628,409585,404726,400176,395620,390572,385245,380115,374842,370394,361245,357189,353292,350446,348624,345901,342255,339035,336323,      Erzgebirgskreis
257,ANA,14521,12756,13437,13670,13996,14191,14171,14610,14979,15459,15774,16022,16453,16896,17240,17646,18210,18865,19668,20492,5323254,5536524,5560424,5621638,5631971,5556176,5651374,5710770,5807827,5842164,5857818,5943507,6035124,6090690,6183903,6348439,6525435,6731482,6947487,13083.0,13198.0,12811.0,12736.0,11803.0,10129.0,10122.0,11140.0,435257,432764,430248,427358,423918,419646,414628,409585,404726,400176,395620,390572,385245,380115,374842,370394,361245,357189,353292,350446,348624,345901,342255,339035,336323,      Erzgebirgskreis
258,ASZ,14521,12756,13437,13670,13996,14191,14171,14610,14979,15459,15774,16022,16453,16896,17240,17646,18210,18865,19668,20492,5323254,5536524,5560424,5621638,5631971,5556176,5651374,5710770,5807827,5842164,5857818,5943507,6035124,6090690,6183903,6348439,6525435,6731482,6947487,13083.0,13198.0,12811.0,12736.0,11803.0,10129.0,10122.0,11140.0,435257,432764,430248,427358,423918,419646,414628,409585,404726,400176,395620,390572,385245,380115,374842,370394,361245,357189,353292,350446,348624,345901,342255,339035,336323,      Erzgebirgskreis
259,AU,14521,12756,13437,13670,13996,14191,14171,14610,14979,15459,15774,16022,16453,16896,17240,17646,18210,18865,19668,20492,5323254,5536524,5560424,5621638,5631971,5556176,5651374,5710770,5807827,5842164,5857818,5943507,6035124,6090690,6183903,6348439,6525435,6731482,6947487,13083.0,13198.0,12811.0,12736.0,11803.0,10129.0,10122.0,11140.0,435257,432764,430248,427358,423918,419646,414628,409585,404726,400176,395620,390572,385245,380115,374842,370394,361245,357189,353292,350446,348624,345901,342255,339035,336323,      Erzgebirgskreis
260,MAB,14521,12756,13437,13670,13996,14191,14171,14610,14979,15459,15774,16022,16453,16896,17240,17646,18210,18865,19668,20492,5323254,5536524,5560424,5621638,5631971,5556176,5651374,5710770,5807827,5842164,5857818,5943507,6035124,6090690,6183903,6348439,6525435,6731482,6947487,13083.0,13198.0,12811.0,12736.0,11803.0,10129.0,10122.0,11140.0,435257,432764,430248,427358,423918,419646,414628,409585,404726,400176,395620,390572,385245,380115,374842,370394,361245,357189,353292,350446,348624,345901,342255,339035,336323,      Erzgebirgskreis
261,MEK,14521,12756,13437,13670,13996,14191,14171,14610,14979,15459,15774,16022,16453,16896,17240,17646,18210,18865,19668,20492,5323254,5536524,5560424,5621638,5631971,5556176,5651374,5710770,5807827,5842164,5857818,5943507,6035124,6090690,6183903,6348439,6525435,6731482,6947487,13083.0,13198.0,12811.0,12736.0,11803.0,10129.0,10122.0,11140.0,435257,432764,430248,427358,423918,419646,414628,409585,404726,400176,395620,390572,385245,380115,374842,370394,361245,357189,353292,350446,348624,345901,342255,339035,336323,      Erzgebirgskreis
262,STL,14521,12756,13437,13670,13996,14191,14171,14610,14979,15459,15774,16022,16453,16896,17240,17646,18210,18865,19668,20492,5323254,5536524,5560424,5621638,5631971,5556176,5651374,5710770,5807827,5842164,5857818,5943507,6035124,6090690,6183903,6348439,6525435,6731482,6947487,13083.0,13198.0,12811.0,12736.0,11803.0,10129.0,10122.0,11140.0,435257,432764,430248,427358,423918,419646,414628,409585,404726,400176,395620,390572,385245,380115,374842,370394,361245,357189,353292,350446,348624,345901,342255,339035,336323,      Erzgebirgskreis
263,SZB,14521,12756,13437,13670,13996,14191,14171,14610,14979,15459,15774,16022,16453,16896,17240,17646,18210,18865,19668,20492,5323254,5536524,5560424,5621638,5631971,5556176,5651374,5710770,5807827,5842164,5857818,5943507,6035124,6090690,6183903,6348439,6525435,6731482,6947487,13083.0,13198.0,12811.0,12736.0,11803.0,10129.0,10122.0,11140.0,435257,432764,430248,427358,423918,419646,414628,409585,404726,400176,395620,390572,385245,380115,374842,370394,361245,357189,353292,350446,348624,345901,342255,339035,336323,      Erzgebirgskreis
264,ZP,14521,12756,13437,13670,13996,14191,14171,14610,14979,15459,15774,16022,16453,16896,17240,17646,18210,18865,19668,20492,5323254,5536524,5560424,5621638,5631971,5556176,5651374,5710770,5807827,5842164,5857818,5943507,6035124,6090690,6183903,6348439,6525435,6731482,6947487,13083.0,13198.0,12811.0,12736.0,11803.0,10129.0,10122.0,11140.0,435257,432764,430248,427358,423918,419646,414628,409585,404726,400176,395620,390572,385245,380115,374842,370394,361245,357189,353292,350446,348624,345901,342255,339035,336323,      Erzgebirgskreis
265,ES,8116,18850,19793,19612,20005,20302,20616,21104,21420,21696,21127,21573,22526,23140,23463,23951,24232,24410,24864,25582,9291670,9818818,9803448,10050985,10224904,10399345,10644452,10794436,10927105,10623881,10838228,11346859,11726523,11976283,12323507,12611549,12850675,13193433,13638992,22658.0,23108.0,23893.0,25936.0,24751.0,24477.0,25743.0,22280.0,489849,491510,492991,493909,496257,499246,502962,507505,510655,512485,513949,514207,514490,514826,514319,514400,503712,506769,510428,514529,520453,526460,530620,533153,534442,"      Esslingen, Landkreis"
266,NT,8116,18850,19793,19612,20005,20302,20616,21104,21420,21696,21127,21573,22526,23140,23463,23951,24232,24410,24864,25582,9291670,9818818,9803448,10050985,10224904,10399345,10644452,10794436,10927105,10623881,10838228,11346859,11726523,11976283,12323507,12611549,12850675,13193433,13638992,22658.0,23108.0,23893.0,25936.0,24751.0,24477.0,25743.0,22280.0,489849,491510,492991,493909,496257,499246,502962,507505,510655,512485,513949,514207,514490,514826,514319,514400,503712,506769,510428,514529,520453,526460,530620,533153,534442,"      Esslingen, Landkreis"
267,EU,5366,14875,15551,15529,15895,16209,16129,16299,16399,17182,17022,17868,18580,18989,19092,19545,20062,20498,21138,21862,2784858,2930214,2941831,3024938,3095135,3083687,3113995,3128284,3270620,3230357,3373344,3492708,3565469,3581355,3670546,3804926,3918796,4051366,4208010,11382.0,11161.0,11441.0,11552.0,10830.0,9620.0,9334.0,9501.0,181312,182871,184318,185737,187144,188469,189853,191087,191947,192785,193116,193211,192970,192849,192305,191569,187982,187763,187581,187798,189662,191184,191665,192484,193248,"      Euskirchen, Kreis"
268,SLE,5366,14875,15551,15529,15895,16209,16129,16299,16399,17182,17022,17868,18580,18989,19092,19545,20062,20498,21138,21862,2784858,2930214,2941831,3024938,3095135,3083687,3113995,3128284,3270620,3230357,3373344,3492708,3565469,3581355,3670546,3804926,3918796,4051366,4208010,11382.0,11161.0,11441.0,11552.0,10830.0,9620.0,9334.0,9501.0,181312,182871,184318,185737,187144,188469,189853,191087,191947,192785,193116,193211,192970,192849,192305,191569,187982,187763,187581,187798,189662,191184,191665,192484,193248,"      Euskirchen, Kreis"
269,FO,9474,16308,17482,17245,17380,17665,17841,18229,18664,19312,19153,20020,20942,21380,21684,22081,22685,23185,23816,24725,1827558,1967547,1947772,1966480,1999645,2021847,2065273,2112884,2184976,2165312,2260113,2363791,2419305,2458492,2509772,2594401,2667418,2750058,2865433,3240.0,3471.0,3663.0,3515.0,3251.0,3518.0,3212.0,3492.0,109337,110020,110611,111190,111661,112144,112678,113022,113298,113353,113540,113481,113347,113324,113252,113107,112875,113159,113378,113662,114367,115047,115470,115890,116151,"      Forchheim, Landkreis"
270,EBS,9474,16308,17482,17245,17380,17665,17841,18229,18664,19312,19153,20020,20942,21380,21684,22081,22685,23185,23816,24725,1827558,1967547,1947772,1966480,1999645,2021847,2065273,2112884,2184976,2165312,2260113,2363791,2419305,2458492,2509772,2594401,2667418,2750058,2865433,3240.0,3471.0,3663.0,3515.0,3251.0,3518.0,3212.0,3492.0,109337,110020,110611,111190,111661,112144,112678,113022,113298,113353,113540,113481,113347,113324,113252,113107,112875,113159,113378,113662,114367,115047,115470,115890,116151,"      Forchheim, Landkreis"
271,PEG,9474,16308,17482,17245,17380,17665,17841,18229,18664,19312,19153,20020,20942,21380,21684,22081,22685,23185,23816,24725,1827558,1967547,1947772,1966480,1999645,2021847,2065273,2112884,2184976,2165312,2260113,2363791,2419305,2458492,2509772,2594401,2667418,2750058,2865433,3240.0,3471.0,3663.0,3515.0,3251.0,3518.0,3212.0,3492.0,109337,110020,110611,111190,111661,112144,112678,113022,113298,113353,113540,113481,113347,113324,113252,113107,112875,113159,113378,113662,114367,115047,115470,115890,116151,"      Forchheim, Landkreis"
272,FS,9178,17686,18594,18336,18631,19083,19209,19407,19616,20106,19849,20735,21593,22065,22130,22477,22872,23299,23607,24459,2634607,2818896,2820505,2887909,2975459,3015691,3073250,3142211,3248444,3211010,3358733,3525835,3646411,3709986,3813966,3929121,4066048,4176147,4367244,10558.0,10613.0,10456.0,10416.0,11486.0,11383.0,11502.0,10281.0,139768,142182,144470,146533,148591,150648,154156,156024,158126,158691,159985,160985,163529,165115,165419,165814,163284,165259,167648,169684,171791,174514,176900,178557,179562,"      Freising, Landkreis"
273,FDS,8237,16437,17409,17415,17910,18262,18789,19517,20054,20454,19874,20426,21074,21420,21509,22664,23028,23650,24096,24843,1958952,2077149,2087368,2149939,2190489,2252797,2335678,2389637,2423811,2339683,2387098,2440687,2466232,2471934,2605659,2664147,2754377,2820973,2923884,4836.0,4139.0,4358.0,4383.0,4084.0,3925.0,4104.0,4102.0,119607,119192,119373,119891,120659,120956,121386,122064,122362,122425,122579,122444,122120,121700,120967,120344,115813,115138,114924,114970,115690,116463,117074,117696,118089,"      Freudenstadt, Landkreis"
274,HCH,8237,16437,17409,17415,17910,18262,18789,19517,20054,20454,19874,20426,21074,21420,21509,22664,23028,23650,24096,24843,1958952,2077149,2087368,2149939,2190489,2252797,2335678,2389637,2423811,2339683,2387098,2440687,2466232,2471934,2605659,2664147,2754377,2820973,2923884,4836.0,4139.0,4358.0,4383.0,4084.0,3925.0,4104.0,4102.0,119607,119192,119373,119891,120659,120956,121386,122064,122362,122425,122579,122444,122120,121700,120967,120344,115813,115138,114924,114970,115690,116463,117074,117696,118089,"      Freudenstadt, Landkreis"
275,HOR,8237,16437,17409,17415,17910,18262,18789,19517,20054,20454,19874,20426,21074,21420,21509,22664,23028,23650,24096,24843,1958952,2077149,2087368,2149939,2190489,2252797,2335678,2389637,2423811,2339683,2387098,2440687,2466232,2471934,2605659,2664147,2754377,2820973,2923884,4836.0,4139.0,4358.0,4383.0,4084.0,3925.0,4104.0,4102.0,119607,119192,119373,119891,120659,120956,121386,122064,122362,122425,122579,122444,122120,121700,120967,120344,115813,115138,114924,114970,115690,116463,117074,117696,118089,"      Freudenstadt, Landkreis"
276,WOL,8237,16437,17409,17415,17910,18262,18789,19517,20054,20454,19874,20426,21074,21420,21509,22664,23028,23650,24096,24843,1958952,2077149,2087368,2149939,2190489,2252797,2335678,2389637,2423811,2339683,2387098,2440687,2466232,2471934,2605659,2664147,2754377,2820973,2923884,4836.0,4139.0,4358.0,4383.0,4084.0,3925.0,4104.0,4102.0,119607,119192,119373,119891,120659,120956,121386,122064,122362,122425,122579,122444,122120,121700,120967,120344,115813,115138,114924,114970,115690,116463,117074,117696,118089,"      Freudenstadt, Landkreis"
277,FRG,9272,12814,13477,13540,13953,14385,14700,15256,15847,16254,16019,16541,17259,18038,18495,18894,19474,20646,21216,22058,1049465,1103783,1108484,1140283,1171295,1190498,1225589,1263142,1288899,1263510,1297729,1349338,1406520,1437460,1469533,1519459,1613468,1660466,1728217,2131.0,2061.0,2130.0,2196.0,1839.0,1952.0,2098.0,2011.0,81576,81825,81934,82160,82342,82433,82497,82532,82433,82166,81802,81172,80601,80243,79836,79513,78182,77974,77722,77777,78025,78151,78263,78350,78359,"      Freyung-Grafenau, Landkreis"
278,GRA,9272,12814,13477,13540,13953,14385,14700,15256,15847,16254,16019,16541,17259,18038,18495,18894,19474,20646,21216,22058,1049465,1103783,1108484,1140283,1171295,1190498,1225589,1263142,1288899,1263510,1297729,1349338,1406520,1437460,1469533,1519459,1613468,1660466,1728217,2131.0,2061.0,2130.0,2196.0,1839.0,1952.0,2098.0,2011.0,81576,81825,81934,82160,82342,82433,82497,82532,82433,82166,81802,81172,80601,80243,79836,79513,78182,77974,77722,77777,78025,78151,78263,78350,78359,"      Freyung-Grafenau, Landkreis"
279,WOS,9272,12814,13477,13540,13953,14385,14700,15256,15847,16254,16019,16541,17259,18038,18495,18894,19474,20646,21216,22058,1049465,1103783,1108484,1140283,1171295,1190498,1225589,1263142,1288899,1263510,1297729,1349338,1406520,1437460,1469533,1519459,1613468,1660466,1728217,2131.0,2061.0,2130.0,2196.0,1839.0,1952.0,2098.0,2011.0,81576,81825,81934,82160,82342,82433,82497,82532,82433,82166,81802,81172,80601,80243,79836,79513,78182,77974,77722,77777,78025,78151,78263,78350,78359,"      Freyung-Grafenau, Landkreis"
280,FRI,3455,13948,14505,14345,14649,14738,15014,15399,15573,16202,16396,16859,17623,18261,18688,19103,19409,19954,20557,21071,1393788,1456026,1444235,1475530,1484210,1509155,1542616,1554247,1608893,1619610,1658372,1727721,1782150,1816670,1853260,1890794,1958541,2024038,2075176,6177.0,5856.0,5612.0,5586.0,5463.0,5180.0,4945.0,5088.0,97583,98284,99029,99637,100095,100569,101158,101490,101674,101622,101580,101291,100946,100615,100068,99782,98036,97592,97210,97015,97419,98155,98459,98485,98582,"      Friesland, Landkreis"
281,FD,6631,14681,15603,15559,15795,15981,16606,17210,17847,18000,17898,18725,19240,19844,20038,20881,21220,21418,22016,22798,3186415,3395810,3396036,3456731,3505991,3644616,3769841,3901979,3925993,3891391,4059658,4160364,4286623,4332246,4527484,4641487,4725833,4876025,5065441,10813.0,9567.0,9140.0,9672.0,8845.0,8890.0,9119.0,9608.0,210643,213084,214866,216069,216880,217425,218037,218633,219187,219724,219961,219600,219198,218594,218030,217424,216240,216019,216204,216820,218729,220651,221477,222184,222865,"      Fulda, Landkreis"
